date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:04	60358/60358	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:53:38%20GMT	https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India)	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/learn-about-nfts8e83.html	(from )
12:24:07	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2013%20Jul%202022%2006:54:05%20GMT	https://www.momint.so/robots.txt		(from )
12:24:11	496222/496222	---M-Z	200	added ('OK')	text/css	etag:%22fc9a1091caae8da4bfccaf61d43045ed%22	https://uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/css/momint.webflow.9cd0a105f.min.css	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/css/momint.webflow.9cd0a105f.min.css	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:11	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/the%20nft%20academy/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:13	1866/1866	---M--	200	added ('OK')	image/png	etag:%222a5d776de163fda982df352b6347c49d%22	https://uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/60d3073fb384c073da6cdb81_Favicon.png	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/60d3073fb384c073da6cdb81_Favicon.png	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:13	5222/5222	---M--	200	added ('OK')	image/png	etag:%22718675fb68ce90bfff9845bb7139dd21%22	https://uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/60d43a1d87badc189fbad26a_output-onlinepngtools%20(3).png	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3bebdcfeadfa63/60d43a1d87badc189fbad26a_output-onlinepngtools%20(3).png	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2013%20Jul%202022%2006:54:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/the%20nft%20academy/www.googletagmanager.com/gtm.55445.delayed	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:15	99847/99847	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Jul%202022%2006:54:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/the%20nft%20academy/connect.facebook.net/en_US/fbevents.js	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:16	10580/10580	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a165b8a115f23710bf09583e2aee57a%22	https://cdn.jetboost.io/jetboost.js	C:/My%20Web%20Sites/the%20nft%20academy/cdn.jetboost.io/jetboost.js	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:18	192738/192738	---MCZ	200	added ('OK')	text/javascript	etag:W/%222f0e2-60l42D+2FfpJ7EEx6R3Sj1Npl9Q%22	https://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/the%20nft%20academy/platform-api.sharethis.com/js/sharethis.js	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
